source,date,url,title_en,text_en
rtvutrecht,2025-07-03T18:34:52Z,https://www.rtvutrecht.nl/nieuws/3915790/te-veel-gif-in-ons-bloed-pfas-laat-ook-utrecht-niet-met-rust,Too much poison in our blood: PFAS does not leave Utrecht alone,"July 3, 8:34 PM • Modified August 8, 2:03 AM • 4 minutes reading time
The RIVM examined 1,500 blood samples from all over the Netherlands, which were taken in 2016 and 2017. In follow-up research, the institute will also analyze samples taken this year.
Nature organizations are again calling for a ban on the use of PFAS in products after the RIVM study published on Thursday. Nature and Environment Federation North Holland emphasizes the importance of a ban on discharging PFAS for companies. Eleven organizations, including unions of military and fire brigade volunteers and action group SchipholWatch, have started a lawsuit against the Dutch state.
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2025-06-11T12:47:48Z,https://www.rtvutrecht.nl/nieuws/3906258/verhoogde-pfas-concentraties-in-afvalwater-amersfoort-bron-onduidelijk,"Increased PFAS concentrations in Amersfoort wastewater, source unclear","June 11, 2:47 PM • Modified July 17, 2:01 AM • 2 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2025-04-17T03:30:14Z,https://www.rtvutrecht.nl/nieuws/3881813/op-eieren-lopen-tijdens-pasen-alles-barst-van-de-pfas-dit-kan-er-ook-nog-wel-bij,"Walking on eggshells during Easter? 'Everything is full of PFAS, this could also be added'","April 17, 05:30•ModifiedMay 22, 02:05•3 minutes reading time
PFAS is a collective name for chemicals that are man-made. PFAS are heat-resistant and dirt- and water-repellent. Very handy. No more greasy pizza box? Caused by PFAS. Baking without sticking? This is possible with the non-stick coating, made from PFAS. But the substances are also found in (rain) clothing, cosmetics and impregnating agents and are used in many industrial processes.
PFAS can make you sick. Once in your blood, they almost never leave. It can lead to cancer, miscarriages and birth defects. But also to hormonal problems, tear duct problems, heart disease, a weakened immune system and kidney and liver problems.
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2025-04-15T10:46:10Z,https://www.rtvutrecht.nl/nieuws/3881244/rivm-eet-geen-eieren-van-hobbykippen,RIVM: Do not eat eggs from hobby chickens,"April 15, 12:46 • Modified May 21, 02:03 • 2 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2025-02-04T05:00:14Z,https://www.rtvutrecht.nl/nieuws/3849040/drinkwatertekort-dreigt-in-utrecht-vitens-zoekt-naar-nieuwe-bronnen,"Drinking water shortage threatens in Utrecht, Vitens is looking for new sources","February 4, 6:00 AM•Modified March 11, 2:02 AM•4 minutes reading time
Why is there a drinking water shortage in Utrecht?
According to Vitens, things are starting to become dire, specifically in the regions of Utrecht, Amersfoort and Twente. Vitens environmental manager Janne Fuchs explains why this is the case. ""On the one hand, more and more people are moving here. And the more people there are, the more water they use. Even if additional companies are added to the region, they demand extra water. On the other hand, climate change plays a role. The warmer it gets, especially in the summer, the more often people water their gardens and fill swimming pools.""
If Vitens does nothing, they predict a drinking water shortage in this region from 2030. That is why the company is investigating in several places whether a new source can be tapped. The island of Schalkwijk is one of the locations. Investigations have been going on for months.
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2024-11-30T08:00:38Z,https://www.rtvutrecht.nl/nieuws/3818772/baanbrekend-uu-onderzoek-naar-waterzuivering-door-champignonschimmels,Pioneering UU research into water purification by mushroom fungi,"November 30, 2024, 9:00 AM•ModifiedDecember 31, 2024, 2:04 AM•3 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2024-10-14T04:00:00Z,https://www.rtvutrecht.nl/nieuws/3797696/omgevingsdiensten-voldoen-niet-aan-alle-kwaliteitseisen-personeel-niet-altijd-voldoende-opgeleid,Environmental services do not meet all quality requirements and staff are not always sufficiently trained,"October 14, 2024, 6:00 AM•ModifiedNovember 13, 2024, 2:03 AM•3 minutes reading time
Environmental services specialize in environmental permits, supervision and enforcement of companies. Checking compliance with environmental regulations at companies that work with hazardous substances is part of this. They also monitor discharges of, for example, pfas, the removal of asbestos and environmental regulations in the construction and agricultural sectors.
The Netherlands has 28 environmental services. In our province these are the Utrecht Region Environmental Service and the Utrecht Regional Implementation Service (RUD).
The municipalities of Amersfoort, Baarn, Bunschoten, Eemnes, Houten, Leusden, Lopik, Nieuwegein, Soest, Utrecht and Woudenberg belong to the RUD Utrecht.
The municipalities of Bunnik, De Bilt, De Ronde Venen, IJsselstein, Montfoort, Oudewater, Renswoude, Rhenen, Stichtse Vecht, Utrechtse Heuvelrug, Veenendaal, Vijfheerenlanden, Wijk bij Duurstede, Woerden and Zeist fall under the Utrecht Region Environmental Service.
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2024-07-05T12:17:05Z,https://www.rtvutrecht.nl/nieuws/3760379/zwemmen-dan-hoef-je-je-in-provincie-over-pfas-geen-zorgen-te-maken,Swimming? Then you don't have to worry about PFAS in the province,"July 5, 2024, 2:17 PM • Modified August 10, 2024, 2:04 AM • 2 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2024-05-03T05:49:34Z,https://www.rtvutrecht.nl/nieuws/3731640/124-plekken-in-de-provincie-mogelijk-met-pfas-vervuild,124 places in the province possibly contaminated with PFAS,"May 3, 2024, 7:49 AM•Adapted June 8, 2024, 2:03 AM•1 minute reading time
PFAS is a collective term for thousands of chemicals. Some substances are carcinogenic and can cause damage to the immune system, among other things. Once they are in the ground, it is difficult to filter them out or clean the soil. PFAS is found in pans with non-stick coatings and rainwear, among other things.
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2024-04-30T08:52:27Z,https://www.rtvutrecht.nl/nieuws/3730421/champignon-kan-water-zuiveren-ontdekken-utrechtse-onderzoekers,"Mushrooms can purify water, Utrecht researchers discover","April 30, 2024, 10:52 am • Modified June 5, 2024, 2:02 am • 2 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2024-04-25T08:11:03Z,https://www.rtvutrecht.nl/nieuws/3727817/aanklacht-tegen-nederlandse-staat-voor-vervuiling-en-gezondheidsschade-door-pfas,Complaints against the Dutch state for pollution and health damage caused by PFAS,"April 25, 2024, 10:11 AM•ModifiedMay 31, 2024, 2:03 AM•3 minutes reading time
PFAS is a collective term for thousands of chemicals. Some substances are carcinogenic and can cause damage to the immune system, among other things. Once they are in the ground, it is difficult to filter them out or clean the soil. PFAS is found in pans with non-stick coatings and rainwear, among other things.
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2024-04-16T10:00:32Z,https://www.rtvutrecht.nl/nieuws/3721231/uiterwaarden-bij-elst-teruggeven-aan-de-natuur-uniek-gebied-met-zeldzame-flora-en-fauna,Returning floodplains near Elst to nature: 'Unique area with rare flora and fauna',"April 16, 2024, 12:00 • Modified May 21, 2024, 10:22 • 3 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2024-04-10T13:30:55Z,https://www.rtvutrecht.nl/nieuws/3720450/pfas-in-sloot-utrechtse-wijk-veemarkt,PFAS in ditch in Utrecht Veemarkt district,"April 10, 2024, 3:30 PM • Modified May 16, 2024, 2:02 AM • 2 minutes reading time
The abbreviation PFAS stands for per- and polyfluoroalkyl substances. It is a collective name for chemicals that are man-made. The fabrics are heat-resistant and dirt- and water-repellent. For example, they are found in non-stick raincoats, but also in fire-fighting foam. PFAS end up in the environment and ultimately in our bodies. Once in your blood, they almost never leave. It can lead to cancer, miscarriages and birth defects, among other things, as well as hormonal problems, tear duct problems and heart disease.
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2024-03-08T05:00:00Z,https://www.rtvutrecht.nl/nieuws/3706251/bijensterfte-schokt-imker-uit-groenekan-dit-probleem-wordt-enorm-onderschat,Bee mortality shocks beekeeper from Groenekan: 'This problem is enormously underestimated',"March 8, 2024, 6:00 AM•ModifiedApril 12, 2024, 2:05 AM•4 minutes reading time
""A bee colony is a mirror of the season and the flowering environment,"" explains beekeeper Sonne. Bees pollinate almost 90 percent of all flowers, trees and plants. ""And so you can enjoy fresh fruit, healthy vegetables and a delicious coffee. Bees are responsible for every three out of four bites you put in your mouth.""
And not only that, says Sonne. ""These super-pollinators fly on every tree or plant that blooms. As a result, they provide an abundance of new plants, all of which store CO2, retain water and cool the earth. So to speak... solve the climate problem.""
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2023-12-06T15:12:44Z,https://www.rtvutrecht.nl/nieuws/3668376/den-haag-betaalt-23-5-miljoen-voor-opruimen-pfas-bij-vliegbasis-soesterberg,The Hague will pay 23.5 million for cleaning up PFAS at Soesterberg Air Base,"December 6, 2023, 4:12 PM • Modified January 11, 2024, 2:04 AM • 2 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2023-10-27T03:30:45Z,https://www.rtvutrecht.nl/nieuws/3646703/pfas-paniek-in-de-provincie-utrecht-dit-is-zo-naar-en-ziekmakend-we-moeten-ermee-stoppen,"PFAS panic in the province of Utrecht? 'This is so bad and sickening, we have to stop it'","October 27, 2023, 5:30 AM•ModifiedNovember 23, 2023, 2:04 AM•7 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2023-10-06T19:10:34Z,https://www.rtvutrecht.nl/nieuws/3642705/drie-bedrijven-gebruiken-pfas-in-utrecht-gemeente-ziet-geen-risicos,"Three companies use PFAS in Utrecht, the municipality sees no risks","October 6, 2023, 9:10 PM • Modified November 11, 2023, 2:03 AM • 2 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2023-05-11T15:20:51Z,https://www.rtvutrecht.nl/nieuws/3578975/alarmerend-rapport-over-waterkwaliteit-problemen-zijn-vergelijkbaar-met-stikstofdossier,Alarming report on water quality: 'Problems are comparable to nitrogen dossier',"May 11, 2023, 5:20 PM • Modified June 16, 2023, 2:03 AM • 4 minutes reading time
- The so-called water test should be given more weight. The water boards play an important role in this. If this shows that plans have a negative effect on water quality, they must be adjusted.
- Tighten the control system through permits and make all extractions from ground and surface water subject to a permit or notification requirement.
- The water must be cleaner: the so-called nutrient concentration must be reduced. To achieve this, manure regulations must be adjusted. And the purification in sewage treatment plants must be improved.
- Legislation must also be introduced so that, among other things, fewer medicine residues and fewer crop protection products end up in the water.
- The RLI also advises that all measures must be calculated immediately.
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2023-03-13T05:00:50Z,https://www.rtvutrecht.nl/nieuws/3551428/waterkwaliteit-nog-lang-niet-op-orde-boete-dreigt-we-moeten-echt-aan-de-bak,"Water quality still far from being in order, fine looms: 'We really have to get to work'","March 13, 2023, 6:00 AM•ModifiedApril 14, 2023, 2:04 AM•3 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2021-09-13T13:42:00Z,https://www.rtvutrecht.nl/nieuws/3158880/huizen-steeds-sneller-steeds-duurder-koopprijs-in-utrecht-stijgt-met-15-procent,Houses are becoming more expensive at an increasing rate: 'Purchase prices in Utrecht are rising by 15 percent',"September 13, 2021, 3:42 PM•4 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2021-07-13T09:01:00Z,https://www.rtvutrecht.nl/nieuws/3109709/utrechts-pfas-onderzoek-afgerond-twee-locaties-boven-risiconorm,"Utrecht PFAS study completed, two locations above risk standard","July 13, 2021, 11:01 AM•ModifiedApril 25, 2022, 4:41 PM•2 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2020-04-09T14:30:00Z,https://www.rtvutrecht.nl/nieuws/2035679/ondernemers-in-de-knel-starter-na-acht-weken-al-weer-dicht,Entrepreneurs in trouble: starter closed again after eight weeks,Do you have a tip or comment? Send us your news or photo via WhatsApp or email.
rtvutrecht,2020-03-11T09:47:00Z,https://www.rtvutrecht.nl/nieuws/2027290/student-vast-in-italie-nieuwe-besmettingen-in-utrecht-lees-het-in-ons-corona-liveblog,"Student stuck in Italy, new infections in Utrecht: read it in our corona live blog",Do you have a tip or comment? Send us your news or photo via WhatsApp or email.
rtvutrecht,2020-01-29T09:46:00Z,https://www.rtvutrecht.nl/nieuws/2018641/meer-nieuwbouwhuizen-maar-woningnood-blijft-enorm-in-utrecht,"More new-build homes, but housing shortage remains enormous in Utrecht","January 29, 2020, 10:46 AM•2 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
